Q45,Q46,Q57,Q184,Q218,Q254,source,tsne_x,tsne_y,tsne_x_3d,tsne_y_3d,tsne_z_3d
1.0,2.0,2.0,8.0,1.0,2.0,Survey,-1.7493943,56.578777,4.849748,10.955932,12.639817
1.0,2.0,2.0,4.0,3.0,1.0,Survey,-35.068146,-33.867035,-15.597549,-6.2858963,6.630274
1.0,1.0,1.0,8.0,1.0,1.0,Survey,29.09829,-44.865128,8.938653,-16.243078,9.177448
1.0,2.0,1.0,2.0,1.0,2.0,Survey,-66.485695,13.927632,-25.14233,8.220663,0.18242626
1.0,2.0,1.0,7.0,1.0,1.0,Survey,-13.923042,-54.819496,-3.1276357,-17.921904,-9.334214
1.0,2.0,2.0,5.0,3.0,1.0,Survey,-29.649784,-31.190876,-9.587923,-7.068995,11.54076
2.0,2.0,2.0,7.0,2.0,2.0,Survey,2.7997503,16.02467,-0.7517081,8.618581,-3.7970881
2.0,3.0,2.0,6.0,1.0,1.0,Survey,-15.820293,-13.615061,-8.854402,-7.932944,-12.398627
1.0,2.0,1.0,6.0,1.0,1.0,Survey,-18.082262,-46.943214,-8.255638,-17.47596,-6.6481357
2.0,1.0,1.0,6.0,2.0,2.0,Survey,-15.867038,10.895626,-5.154982,3.6814556,-0.691164
1.0,2.0,2.0,6.0,2.0,1.0,Survey,-13.346631,-22.228374,-5.1226196,-11.208722,7.7996483
3.0,2.0,1.0,7.0,1.0,2.0,Survey,-5.3648887,24.87702,1.0384849,1.3687685,-6.9360304
1.0,1.0,1.0,8.0,2.0,1.0,Survey,23.15534,-34.907227,9.010883,-10.702101,6.992072
1.0,1.0,1.0,9.0,1.0,1.0,Survey,38.51958,-40.277245,14.302827,-13.175002,8.636756
1.0,2.0,2.0,4.0,2.0,1.0,Survey,-35.583958,-37.005512,-14.3142185,-8.26147,5.8069496
1.0,2.0,2.0,6.0,2.0,1.0,Survey,-13.356879,-22.272074,-4.9134417,-11.059372,7.4693923
3.0,2.0,2.0,2.0,1.0,1.0,Survey,-67.36183,3.1048236,-22.79017,1.4457417,-3.010198
2.0,2.0,2.0,10.0,1.0,1.0,Survey,68.36544,3.2554,21.849329,-1.4931469,-10.515712
1.0,3.0,1.0,8.0,2.0,1.0,Survey,16.36805,-31.96783,5.903002,-7.689127,8.926744
3.0,2.0,2.0,3.0,1.0,2.0,Survey,-50.70866,5.4474907,-18.261103,3.6860256,2.1204894
1.0,2.0,2.0,10.0,1.0,2.0,Survey,44.505886,22.545374,14.990472,11.586802,10.782464
2.0,2.0,2.0,9.0,1.0,1.0,Survey,41.511086,-31.163515,13.237014,-5.7171025,-12.12072
1.0,2.0,1.0,5.0,2.0,2.0,Survey,-36.938034,-1.5513854,-10.001895,-0.6268838,-1.9887881
1.0,2.0,2.0,5.0,1.0,1.0,Survey,-56.19996,-26.081882,-17.693441,-11.639825,-10.085976
1.0,2.0,1.0,8.0,1.0,1.0,Survey,37.0479,-52.53331,12.307548,-20.815962,6.9346037
1.0,2.0,2.0,6.0,1.0,1.0,Survey,-12.160915,-27.094025,-9.8459425,-14.900868,-10.782572
1.0,1.0,1.0,3.0,1.0,2.0,Survey,-58.43541,3.6551309,-16.255814,-1.2194855,-1.8909614
2.0,1.0,2.0,9.0,1.0,2.0,Survey,39.00576,32.687004,19.274092,16.828176,2.812283
3.0,2.0,1.0,10.0,1.0,2.0,Survey,37.226727,52.82489,12.469553,10.713294,-8.634979
2.0,2.0,1.0,7.0,1.0,2.0,Survey,-10.2624235,24.992962,-2.7358406,1.9841166,-8.083328
1.0,1.0,1.0,10.0,2.0,1.0,Survey,46.780567,-15.952849,16.169523,-6.7491946,7.4401016
1.0,2.0,2.0,7.0,1.0,2.0,Survey,-7.684229,42.326817,-3.363859,14.69236,-9.6396055
2.0,4.0,2.0,10.0,3.0,2.0,Survey,45.363003,8.145817,18.223818,4.064,-0.76653284
1.0,2.0,1.0,9.0,2.0,1.0,Survey,36.97986,-14.15757,11.771038,-6.150046,9.817219
1.0,1.0,1.0,8.0,2.0,1.0,Survey,23.15558,-34.906857,9.011335,-10.701354,6.9925146
2.0,2.0,2.0,10.0,1.0,2.0,Survey,49.513157,36.64838,21.358526,14.514396,-3.1998246
2.0,2.0,2.0,9.0,2.0,1.0,Survey,29.935537,-14.432823,10.160207,-2.8902106,0.9649905
2.0,2.0,2.0,6.0,1.0,1.0,Survey,-13.988189,-13.797966,-7.968509,-9.814135,-11.446966
2.0,1.0,2.0,1.0,3.0,1.0,Survey,-84.7584,2.6537533,-27.996769,0.2939789,4.172765
1.0,2.0,1.0,10.0,2.0,2.0,Survey,45.027424,3.064521,16.716879,5.1806803,6.8470955
3.0,2.0,2.0,10.0,1.0,1.0,Survey,62.009583,-4.0599213,16.565367,-1.8233979,-8.8836565
3.0,2.0,2.0,10.0,1.0,2.0,Survey,46.14597,47.870136,17.192198,7.310721,-9.641759
